127.0.0.1 - - [05/Nov/2022:15:52:10 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:12 +0530] "GET /project_3/ HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:12 +0530] "GET /project_3/img/istockphoto-1353553203-170667a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:23 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:52:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
